aa_eleicao,nm_pais,nm_regiao,sg_uf,qt_eleitor_apto,qt_eleitor_comp,qt_eleitor_abstencao,pct_eleitor_comp,pct_eleitor_abstencao
2022,Brasil,NORTE,AC,588433,456508,131925,0.775802853,0.224197147
2022,Brasil,NORDESTE,AL,2325656,1805312,520344,0.776259258,0.223740742
2022,Brasil,NORTE,AM,2647748,2115066,532682,0.798816957,0.201183043
2022,Brasil,NORTE,AP,550687,443290,107397,0.80497633,0.19502367
2022,Brasil,NORDESTE,BA,11291528,8882777,2408751,0.786676259,0.213323741
2022,Brasil,NORDESTE,CE,6820673,5630518,1190155,0.825507688,0.174492312
2022,Brasil,CENTRO-OESTE,DF,2203045,1816040,387005,0.824331777,0.175668223
2022,Brasil,SUDESTE,ES,2921506,2315070,606436,0.792423497,0.207576503
2022,Brasil,CENTRO-OESTE,GO,4870354,3812641,1057713,0.782826259,0.217173741
2022,Brasil,NORDESTE,MA,5042999,3923955,1119044,0.7780995,0.2219005
2022,Brasil,SUDESTE,MG,16290870,12662040,3628830,0.777247624,0.222752376
2022,Brasil,CENTRO-OESTE,MS,1996510,1555733,440777,0.77922625,0.22077375
2022,Brasil,CENTRO-OESTE,MT,2469414,1892157,577257,0.766237253,0.233762747
2022,Brasil,NORTE,PA,6082312,4792119,1290193,0.787877866,0.212122134
2022,Brasil,NORDESTE,PB,3091684,2557096,534588,0.827088409,0.172911591
2022,Brasil,NORDESTE,PE,7018098,5740784,1277314,0.817997127,0.182002873
2022,Brasil,NORDESTE,PI,2573810,2118791,455019,0.823211892,0.176788108
2022,Brasil,SUL,PR,8475632,6824186,1651446,0.805153645,0.194846355
2022,Brasil,SUDESTE,RJ,12827296,9910141,2917155,0.772582234,0.227417766
2022,Brasil,NORDESTE,RN,2554727,2090946,463781,0.81846162,0.18153838
2022,Brasil,NORTE,RO,1230987,927689,303298,0.75361397,0.24638603
2022,Brasil,NORTE,RR,366240,305060,61180,0.83295107,0.16704893
2022,Brasil,SUL,RS,8593469,6893787,1699682,0.802212355,0.197787645
2022,Brasil,SUL,SC,5489658,4476797,1012861,0.815496521,0.184503479
2022,Brasil,NORDESTE,SE,1671801,1365123,306678,0.81655831,0.18344169
2022,Brasil,SUDESTE,SP,34667793,27173159,7494634,0.783815659,0.216184341
2022,Brasil,NORTE,TO,1094003,891208,202795,0.814630307,0.185369693
2022,Exterior,EXTERIOR,ZZ,697078,336913,360165,0.483321809,0.516678191
